ndoc,Date_or_order,Cust_ID,Sum_RUR,Pmnt_RUR
14370509,13.04.17 23:18:04,13,3168,3168
14370545,14.04.17 8:40:21,6,4852,4852
14371028,14.04.17 21:57:22,20,2976,2976
14371243,15.04.17 12:19:25,16,9304,9304
14372051,16.04.17 19:44:55,15,30033,30033
14372062,16.04.17 20:15:29,6,1059,1059
14372092,16.04.17 21:46:18,17,1224,1224
14372553,17.04.17 20:41:12,9,768,768
14372629,18.04.17 9:05:14,22,404,404
14372689,18.04.17 11:04:11,22,960,960
14373086,19.04.17 13:18:16,14,1416,1416
14373199,19.04.17 18:01:01,1,1120,1120
14373222,19.04.17 20:06:16,9,2658,2658
14373369,20.04.17 16:17:03,14,12352,12352
14373605,21.04.17 10:59:46,21,10384,10384
14373861,21.04.17 16:03:44,11,3900,3900
14374441,22.04.17 17:30:57,5,1665,1665
14374790,23.04.17 14:07:25,11,460,460
14375056,24.04.17 7:02:57,15,415,415
14375218,24.04.17 11:57:08,10,6603,6603
14375244,24.04.17 12:18:47,21,990,990
14375317,24.04.17 14:10:04,1,2082,2082
14375810,25.04.17 14:28:46,20,441,441
14375983,25.04.17 20:39:44,17,2340,0
14376100,26.04.17 11:54:03,22,174,174
14376241,26.04.17 19:02:48,21,455,455
14376401,27.04.17 15:48:20,11,7344,7344
14376482,27.04.17 21:13:59,12,161,161
14376490,27.04.17 22:01:25,14,440,440
14376530,28.04.17 7:43:23,13,5895,5895
14376761,28.04.17 14:28:43,20,4563,4563
14376990,28.04.17 21:56:13,11,2736,2736
14377269,29.04.17 15:09:51,11,27960,27960
14377665,30.04.17 14:14:49,17,9510,9510
14377802,30.04.17 19:28:22,16,24106,24106
14377935,01.05.17 18:31:40,14,1568,1568
14377977,02.05.17 7:01:00,4,204,204
14378080,02.05.17 18:42:40,12,64632,64632
14378347,04.05.17 12:57:08,14,800,800
14378650,05.05.17 12:43:36,2,2366,2366
14378755,05.05.17 14:59:00,1,1648,1648
14379346,06.05.17 16:15:37,13,6042,6042
14379825,07.05.17 15:50:42,1,657,657
14380002,07.05.17 23:41:17,5,14080,14080
14380053,08.05.17 9:16:16,19,1378,1378
14380104,08.05.17 11:01:44,13,770,770
14380135,08.05.17 11:58:06,22,940,940
14380306,08.05.17 17:35:17,22,920,920
14380369,09.05.17 0:10:58,15,2490,2490
14380452,09.05.17 17:05:51,8,954,954
14380472,09.05.17 20:40:08,20,606,606
14380588,10.05.17 16:56:24,15,1050,1050
14380745,11.05.17 12:14:19,13,1120,1120
14380792,11.05.17 14:29:16,10,1198,1198
14380993,12.05.17 8:56:42,19,1008,1008
14381095,12.05.17 11:49:19,3,1260,1260
14381531,12.05.17 23:15:20,20,5124,0
14381590,13.05.17 9:03:32,19,3825,3825
14382371,14.05.17 15:29:45,1,1353,1353
14383302,16.05.17 16:57:27,11,1251,1251
14383548,17.05.17 16:36:05,11,31681,31681
14383706,18.05.17 12:50:15,6,1560,1560
